id,text,author_id,created_at,clean_text,sentiment
1.97E+18,"@CzarrRichard @Jon_Kc_E @diipodipe @jcokechukwu @Grok Answer the following questions. 
1. At what conference was the secession clause debated in Nigeria, was it the London conference of 1953 or the Lagos Conference of 1954.
2. Which political party sided ",1.56E+18,2025-09-16T18:07:40+00:00,answer following questions 1 conference secession clause debated nigeria london conference 1953 lagos conference 1954 2 political party sided azikiwes ncnc position,POSITIVE
1.97E+18,"Twitter Caption
""🎙️ Join us LIVE on Lounge FM 101.9 Lagos this Thursday, Sept 18th! 🌟 We'll be discussing deaf children's rights &amp; creating an inclusive world. Tune in &amp; let's break barriers together! 📻💛 #DeafAwarenessMonth #InclusionMatters #SupportDeafChildren"" https://t.co/vj5xbb7Q1Y",1.95E+18,2025-09-16T18:07:23+00:00,twitter caption join us live lounge fm 1019 lagos thursday sept 18th well discussing deaf childrens rights amp creating inclusive world tune amp lets break barriers together deafawarenessmonth inclusionmatters supportdeafchildren,POSITIVE
1.97E+18,"@investor_02 @fimlex2 This looks like Idado Estate in Lekki, Lagos, Nigeria, based on recent flooding reports from heavy rains there in early September 2025. Stay safe if you're in the area!",1.72E+18,2025-09-16T18:07:18+00:00,looks like idado estate lekki lagos nigeria based recent flooding reports heavy rains early september 2025 stay safe youre area,POSITIVE
1.97E+18,"@epa444 @tajudine2013gm2 @Bond_not_james During the 1967-1970 Nigerian Civil War, federal media control was under Gen. Yakubu Gowon (from the North), with censorship in Lagos, the capital in the Southwest. Key figures included multi-ethnic leaders like Ob",1.72E+18,2025-09-16T18:07:03+00:00,19671970 nigerian civil war federal media control gen yakubu gowon north censorship lagos capital southwest key figures included multiethnic leaders like obafemi awolowo yoruba finance minister anthony enahoro edo,POSITIVE
1.97E+18,@Don_BUKK @akin_omotayo1 You're ashamed of owning your ancestral home cos of Lagos you have zero stake in😂 Do you have any ancestral inheritance in Lagos? Be fooling yourself,1.24E+18,2025-09-16T18:07:00+00:00,youre ashamed owning ancestral home cos lagos zero stake ancestral inheritance lagos fooling,NEGATIVE
1.97E+18,"@ChijiokeIke3 @t_kelce__ Mumu, he never said beggars... Na ur pain dey disturbing u... 60 destitutes..
Osun people are in Lagos, their region.. https://t.co/RDqeXm9pPd",1.82E+18,2025-09-16T18:06:58+00:00,mumu never said beggars na ur pain dey disturbing u 60 destitutes osun people lagos region,NEGATIVE
1.97E+18,"@ChuksEricE Nigerian how did we get to here so no fire extinguisher,no safety measure and the firefighter don't even have equipment is a shame on Lagos state government",495080415,2025-09-16T18:06:54+00:00,nigerian get fire extinguisherno safety measure firefighter dont even equipment shame lagos state government,NEGATIVE
1.97E+18,"@Obividic @TrackGazette The Women's 200m heats at the Tokyo 2025 World Championships start at 19:30 JST on September 17, which is 11:30 AM WAT in Lagos, Nigeria.",1.72E+18,2025-09-16T18:06:52+00:00,womens 200m heats tokyo 2025 world championships start 1930 jst september 17 1130 wat lagos nigeria,POSITIVE
1.97E+18,@skiyobo @jagabanolu @IdrisConnecting God forbid I stay in Lagos for more than 48hrs. Never! Since 2012.,1.81E+18,2025-09-16T18:06:34+00:00,god forbid stay lagos 48hrs never since 2012,NEGATIVE
1.97E+18,"@jimata_maleka @trigottista Here's a list of 10 medical interventions and facilities provided by RCCG and Pastor Enoch Adeboye from 2020-2025, based on verified reports:

1. 11 ICU beds with ventilators donated to Lagos, Ogun, and Plateau states (2020, CO",1.72E+18,2025-09-16T18:06:26+00:00,heres list 10 medical interventions facilities provided rccg pastor enoch adeboye 20202025 based verified reports 1 11 icu beds ventilators donated lagos ogun plateau states 2020 covid19 response 2 intensive care unit lagos,POSITIVE
1.97E+18,"@ThugLife_Back ✨💻EniTech Hub - Your Trusted
Gadget Plug
New &amp; UK-Used Laptops ✅ Accessories ✅ 
Phones ✅ Affordable Prices ✅ Printers ✅ Fast Delivery ✅ 
📍No. 9 Medical Road, Former Simbiat Abiola Way,
Opp. Zenith Bank, Ikeja, Lagos,",1.70E+18,2025-09-16T18:06:16+00:00,enitech hub trusted gadget plug new amp ukused laptops accessories phones affordable prices printers fast delivery 9 medical road former simbiat abiola way opp zenith bank ikeja lagos nigeria whatsapp,POSITIVE
1.97E+18,"Celebrating a Dedicated Career!

Today, Lagos State Public Service Staff Development Centre (PSSDC)  bids a fond farewell to Mrs. Henrietta Nuga as she embarks on her statutory retirement! Representing the Director-General, PSSDC, Mr. Olufemi Sholaja extended warm wishes to Mrs",3069898347,2025-09-16T18:06:10+00:00,celebrating dedicated career today lagos state public service staff development centre pssdc bids fond farewell mrs henrietta nuga embarks statutory retirement representing directorgeneral pssdc mr olufemi sholaja extended warm wishes mrs,POSITIVE
1.97E+18,@SameBunny0 You didn't say this when oil from SE and SS was used to build Lagos,1.75E+18,2025-09-16T18:05:51+00:00,didnt say oil se ss used build lagos,POSITIVE
1.97E+18,"I know Emmany is getting a lot of love for his performance on the Tiwa interview and She’s too cute to be correcting folks on such a big platform but pronouncing Lagos (Lay-gus) as Lah-go-s in 2025 is almost diabolical, borderline willful ignorance. But who gives cares. 

E for",1.51E+18,2025-09-16T18:05:44+00:00,know emmany getting lot love performance tiwa interview shes cute correcting folks big platform pronouncing lagos laygus lahgos 2025 almost diabolical borderline willful ignorance gives cares e,NEGATIVE
1.97E+18,@25__To_Life @AmanFromEdo Lagos is no man land,1.79E+18,2025-09-16T18:05:44+00:00,lagos man land,POSITIVE
1.97E+18,@vinicius_snrr @Fabulous_feran Lagos island for that matter not even agbado or ketu lol.,1.85E+18,2025-09-16T18:05:44+00:00,lagos island matter even agbado ketu lol,POSITIVE
1.97E+18,Staff jump down as 6-storey office building catches fire on Lagos Island https://t.co/HHzk84wcpb,1.00E+18,2025-09-16T18:05:42+00:00,staff jump 6storey office building catches fire lagos island,POSITIVE
1.97E+18,"Hot Spurs🔥🤩

Lagos Island #Emmys Arsenal #BBNaija
https://t.co/1jlTQXOf7Z",1.84E+18,2025-09-16T18:05:35+00:00,hot spurs lagos island emmys arsenal bbnaija,POSITIVE
1.97E+18,@Pinovibes @officialABAT Oh not even almighty Lagos???,161667102,2025-09-16T18:05:25+00:00,oh even almighty lagos,POSITIVE
1.97E+18,@Shege2U @SAMMY0255042215 @olabisof_lag23 I’ve told you don’t have to insult me before you talk if you’re pained just lock your door and cry lol because say u no wan make wiz be most streamed u dey use features do excuse bruh u can’t change the st,1.49E+18,2025-09-16T18:05:22+00:00,ive told dont insult talk youre pained lock door cry lol say u wan make wiz streamed u dey use features excuse bruh u cant change stats one dance bigger ur fave made lagos got certs rema,NEGATIVE
1.97E+18,@TrackGazette @grok what time in Lagos Nigeria?,402003343,2025-09-16T18:05:06+00:00,time lagos nigeria,POSITIVE
1.97E+18,"New Entry 😎💯Foreign Used Hyundai Sonata 2013 Model 2.0T Limited 
Thumbstart 
Panoramic Roof 
Price: 13 Million Naira

Location: Ibadan, Oyo State || Ikeja, Lagos State 
Contact: 0808 331 5408
Nationwide Delivery 🚚 📦
https://t.co/Cdzaa4n6iZ… 🛒 https://t.co/JQujsPGmS2",1.10E+18,2025-09-16T18:05:06+00:00,new entry foreign used hyundai sonata 2013 model 20t limited thumbstart panoramic roof price 13 million naira location ibadan oyo state ikeja lagos state contact 0808 331 5408 nationwide delivery,POSITIVE
1.97E+18,Good government pays,305059388,2025-09-16T18:04:56+00:00,digital creatives moment join aflca 100 social media volunteer amp showcase talent part africas biggest leadership movement whatsapp 07036388107 oct 25 pistis hub lagos aflca10 decadeofleadership,POSITIVE
1.97E+18,"This same Lagos.
God Please!
🙏🏿🙏🏿 https://t.co/rmjAL0n0ZA",133657583,2025-09-16T18:04:53+00:00,lagos god please,POSITIVE
1.97E+18,"@DeeMystikal @geeztvofficial As of the latest reports from multiple Nigerian news sources like Daily Trust, TVC News, and Punch, no deaths have been confirmed in the UBA bank fire on Lagos Island. Workers escaped, some by jumping from windows, and firefig",1.72E+18,2025-09-16T18:04:46+00:00,latest reports multiple nigerian news sources like daily trust tvc news punch deaths confirmed uba bank fire lagos island workers escaped jumping windows firefighters contained blaze updates may change,POSITIVE
1.97E+18,"2017 MERCEDES BENZ C43 AMG COUPE

🗳️ Lagos

🎰 3.0-Liter Twin Turbo V6 Engine 

🎰 362 Horsepower

🎰 Panoramic Sunroof

🎰  Four Piston Stoppers Brake

🎰 0–60mph in 4.6 Seconds

🎰 Well-Maintained, Low Mileage

🎰 Accident-Free https://t.co/bSbEDR8n2p",1.79E+18,2025-09-16T18:04:31+00:00,2017 mercedes benz c43 amg coupe lagos 30liter twin turbo v6 engine 362 horsepower panoramic sunroof four piston stoppers brake 060mph 46 seconds wellmaintained low mileage accidentfree,POSITIVE
1.97E+18,"@Dattiking1 @jagabanolu @IdrisConnecting You should be more worried about your people dying in the hands of
Fulani tha Lagos",1.75E+18,2025-09-16T18:04:29+00:00,worried people dying hands fulani tha lagos,NEGATIVE
1.97E+18,@adekunleGOLD If them born you well no give us show for lagos😒…Drop date i don save my coin,1.49E+18,2025-09-16T18:04:25+00:00,born well give us show lagosdrop date save coin,POSITIVE
